test_name, num_threads, time
tournament, 3, 187795200
atomic, 3, 44653400
sync, 3, 48289300
lock, 3, 55241200
tournament, 4, 176105700
atomic, 4, 48518300
sync, 4, 50548800
lock, 4, 51995000
tournament, 5, 257062200
atomic, 5, 76311800
sync, 5, 53446900
lock, 5, 52674500
tournament, 6, 591013200
atomic, 6, 63115400
sync, 6, 54116300
lock, 6, 51304100
tournament, 7, 558113600
atomic, 7, 70413300
sync, 7, 52166500
lock, 7, 51213800
tournament, 8, 304620700
atomic, 8, 71315600
sync, 8, 52021300
lock, 8, 50433300
tournament, 1, 29762100
atomic, 1, 10924700
sync, 1, 29168100
lock, 1, 33294500
tournament, 2, 114914600
atomic, 2, 17443200
sync, 2, 39210800
lock, 2, 62134600
tournament, 3, 158456900
atomic, 3, 54708300
sync, 3, 49522900
lock, 3, 53217000
tournament, 4, 189392500
atomic, 4, 87496400
sync, 4, 53613500
lock, 4, 50664700
tournament, 5, 322010500
atomic, 5, 61581800
sync, 5, 52044200
lock, 5, 53132100
tournament, 6, 376445000
atomic, 6, 71483200
sync, 6, 52512600
lock, 6, 50483600
tournament, 7, 317685500
atomic, 7, 66512300
sync, 7, 51459800
lock, 7, 50610800
tournament, 8, 417299100
atomic, 8, 71742500
sync, 8, 53744900
lock, 8, 50274900
tournament, 1, 28768400
atomic, 1, 10688400
sync, 1, 17329000
lock, 1, 33414900
tournament, 2, 102339500
atomic, 2, 24876700
sync, 2, 39404200
lock, 2, 64354500
tournament, 3, 180547800
atomic, 3, 43437200
sync, 3, 59227500
lock, 3, 52139600
tournament, 4, 169655600
atomic, 4, 86261500
sync, 4, 60123800
lock, 4, 51683000
tournament, 5, 362587500
atomic, 5, 73590400
sync, 5, 52965300
lock, 5, 50734000
tournament, 6, 390089100
atomic, 6, 71842700
sync, 6, 53824200
lock, 6, 52531000
tournament, 7, 327234300
atomic, 7, 69251600
sync, 7, 55402800
lock, 7, 50047700
tournament, 8, 300521400
atomic, 8, 71374000
sync, 8, 51458300
lock, 8, 50332700
tournament, 1, 28234900
atomic, 1, 11086800
sync, 1, 17579800
lock, 1, 33092300
tournament, 2, 125301000
atomic, 2, 25492300
sync, 2, 41872200
lock, 2, 60081500
tournament, 3, 184982800
atomic, 3, 50460800
sync, 3, 45226900
lock, 3, 56060000
tournament, 4, 171466200
atomic, 4, 65438100
sync, 4, 53651400
lock, 4, 51212800
tournament, 5, 258572600
atomic, 5, 70424100
sync, 5, 53100200
lock, 5, 51708500
tournament, 6, 479415700
atomic, 6, 70516500
sync, 6, 53051700
lock, 6, 50579300
tournament, 7, 596201300
atomic, 7, 64282600
sync, 7, 53800300
lock, 7, 49620800
tournament, 8, 664928500
atomic, 8, 67752800
sync, 8, 51724400
lock, 8, 50131000
tournament, 1, 29459700
atomic, 1, 11471000
sync, 1, 28585900
lock, 1, 33982000
tournament, 2, 85507100
atomic, 2, 15664100
sync, 2, 39705500
lock, 2, 71585700
tournament, 3, 168143800
atomic, 3, 44060000
sync, 3, 48028200
lock, 3, 54086200
tournament, 4, 161463000
atomic, 4, 67474500
sync, 4, 53728400
lock, 4, 51576700
tournament, 5, 274520700
atomic, 5, 68386700
sync, 5, 54165800
lock, 5, 51695200
tournament, 6, 357786200
atomic, 6, 70843400
sync, 6, 53501600
lock, 6, 51850800
tournament, 7, 253375100
atomic, 7, 65304800
sync, 7, 51365900
lock, 7, 51272400
tournament, 8, 328188200
atomic, 8, 70813400
sync, 8, 53486900
lock, 8, 50576300
tournament, 1, 28416500
atomic, 1, 10689100
sync, 1, 29624000
lock, 1, 32659800
tournament, 2, 94932300
atomic, 2, 22981900
sync, 2, 35978300
lock, 2, 59051000
tournament, 3, 175637000
atomic, 3, 35629900
sync, 3, 47766400
lock, 3, 53726400
tournament, 4, 179950900
atomic, 4, 80946900
sync, 4, 51259900
lock, 4, 51419600
tournament, 5, 255710700
atomic, 5, 67994800
sync, 5, 51624300
lock, 5, 51301500
tournament, 6, 268801900
atomic, 6, 78160800
sync, 6, 51396800
lock, 6, 50137300
tournament, 7, 249269100
atomic, 7, 62823500
sync, 7, 55448500
lock, 7, 51870000
tournament, 8, 368325100
atomic, 8, 54763400
sync, 8, 51571800
lock, 8, 50209100
tournament, 1, 30029700
atomic, 1, 10655800
sync, 1, 29074000
lock, 1, 32599500
tournament, 2, 115891000
atomic, 2, 44201100
sync, 2, 43745800
lock, 2, 66467200
tournament, 3, 190998100
atomic, 3, 57253200
sync, 3, 47014900
lock, 3, 52741700
tournament, 4, 191632200
atomic, 4, 58838400
sync, 4, 51726100
lock, 4, 52236100
tournament, 5, 304756700
atomic, 5, 70464800
sync, 5, 53377600
lock, 5, 51125500
tournament, 6, 262983100
atomic, 6, 57685900
sync, 6, 54230000
lock, 6, 50676500
tournament, 7, 236842700
atomic, 7, 64712200
sync, 7, 51031200
lock, 7, 50779200
tournament, 8, 333503000
atomic, 8, 88113200
sync, 8, 52221900
lock, 8, 51173300
tournament, 1, 28931200
atomic, 1, 10763200
sync, 1, 29609000
lock, 1, 33691200
tournament, 2, 103951700
atomic, 2, 36954900
sync, 2, 38406100
lock, 2, 63344500
tournament, 3, 146633900
atomic, 3, 41217200
sync, 3, 48987600
lock, 3, 55344400
tournament, 4, 182247500
atomic, 4, 84570800
sync, 4, 53260400
lock, 4, 51540100
tournament, 5, 240554900
atomic, 5, 84273500
sync, 5, 52276300
lock, 5, 49313800
tournament, 6, 315884600
atomic, 6, 62016600
sync, 6, 53322600
lock, 6, 50249800
tournament, 7, 295716800
atomic, 7, 71146800
sync, 7, 56440400
lock, 7, 50327600
tournament, 8, 327462400
atomic, 8, 76396600
sync, 8, 54649400
lock, 8, 52238000
tournament, 1, 29517300
atomic, 1, 10697400
sync, 1, 29413600
lock, 1, 32969000
tournament, 2, 137499900
atomic, 2, 19071300
sync, 2, 43130500
lock, 2, 67019500
tournament, 3, 176201500
atomic, 3, 54527600
sync, 3, 49155700
lock, 3, 51860400
tournament, 4, 189091500
atomic, 4, 64247600
sync, 4, 55138600
lock, 4, 51453200
tournament, 5, 258246300
atomic, 5, 70171400
sync, 5, 52056400
lock, 5, 51451600
tournament, 6, 300409900
atomic, 6, 65109100
sync, 6, 51585800
lock, 6, 52767800
tournament, 7, 387225700
atomic, 7, 67543400
sync, 7, 51886000
lock, 7, 50769900
tournament, 8, 365289800
atomic, 8, 66590700
sync, 8, 52389700
lock, 8, 51247200
tournament, 1, 30414400
atomic, 1, 10646600
sync, 1, 17794400
lock, 1, 32469800
tournament, 2, 114569000
atomic, 2, 18662000
sync, 2, 42285800
lock, 2, 59090400
tournament, 3, 181653700
atomic, 3, 44418500
sync, 3, 49224700
lock, 3, 52188600
tournament, 4, 154566500
atomic, 4, 50457100
sync, 4, 50999900
lock, 4, 50855100
tournament, 5, 339004400
atomic, 5, 71634100
sync, 5, 54686800
lock, 5, 50773600
tournament, 6, 371782500
atomic, 6, 48096700
sync, 6, 53287200
lock, 6, 52081300
tournament, 7, 255323700
atomic, 7, 76533000
sync, 7, 52829300
lock, 7, 51762700
tournament, 8, 295702800
atomic, 8, 83093900
sync, 8, 54510400
lock, 8, 50379200
tournament, 1, 29082600
atomic, 1, 10733400
sync, 1, 29285600
lock, 1, 32754400
tournament, 2, 133990200
atomic, 2, 33402000
sync, 2, 41235300
lock, 2, 57763500
tournament, 3, 155742900
atomic, 3, 37096400
sync, 3, 46692000
lock, 3, 51918200
tournament, 4, 183841000
atomic, 4, 36595100
sync, 4, 57484600
lock, 4, 50459300
tournament, 5, 266351100
atomic, 5, 62132700
sync, 5, 51217100
lock, 5, 50000000
tournament, 6, 271315400
atomic, 6, 71396000
sync, 6, 52251500
lock, 6, 50734000
tournament, 7, 316856000
atomic, 7, 65738700
sync, 7, 55857900
lock, 7, 50157500
tournament, 8, 419273400
atomic, 8, 68890700
sync, 8, 52486200
lock, 8, 50506800
tournament, 1, 29569700
atomic, 1, 10788500
sync, 1, 29470400
lock, 1, 34171900
tournament, 2, 106244800
atomic, 2, 42074500
sync, 2, 45426800
lock, 2, 58008200
tournament, 3, 193177200
atomic, 3, 53908000
sync, 3, 57133800
lock, 3, 54237500
tournament, 4, 185095200
atomic, 4, 65261000
sync, 4, 53321500
lock, 4, 51023100
tournament, 5, 299037700
atomic, 5, 79168400
sync, 5, 50885200
lock, 5, 50591400
tournament, 6, 314548800
atomic, 6, 70696500
sync, 6, 51633900
lock, 6, 51108600
tournament, 7, 327757100
atomic, 7, 67479900
sync, 7, 53191800
lock, 7, 50562100
tournament, 8, 320699100
atomic, 8, 75069600
sync, 8, 52710500
lock, 8, 51253900
tournament, 1, 27981900
atomic, 1, 10685800
sync, 1, 17193400
lock, 1, 32841900
tournament, 2, 100116700
atomic, 2, 36475100
sync, 2, 42119700
lock, 2, 60282800
tournament, 3, 168532400
atomic, 3, 53146200
sync, 3, 44606900
lock, 3, 53320500
tournament, 4, 172384800
atomic, 4, 78789500
sync, 4, 53643600
lock, 4, 51043500
tournament, 5, 279123100
atomic, 5, 64369600
sync, 5, 55034700
lock, 5, 51986800
tournament, 6, 330405800
atomic, 6, 79658400
sync, 6, 52995500
lock, 6, 50437000
tournament, 7, 248233500
atomic, 7, 57521100
sync, 7, 52872000
lock, 7, 51214300
tournament, 8, 249388600
atomic, 8, 60963500
sync, 8, 53350700
lock, 8, 51749600
tournament, 1, 28936000
atomic, 1, 10953600
sync, 1, 29635600
lock, 1, 32790000
tournament, 2, 130460900
atomic, 2, 38528500
sync, 2, 42924100
lock, 2, 58099000
tournament, 3, 160878400
atomic, 3, 46008900
sync, 3, 48461600
lock, 3, 54443300
tournament, 4, 175643700
atomic, 4, 78892900
sync, 4, 53398400
lock, 4, 54790100
tournament, 5, 255806000
atomic, 5, 80379900
sync, 5, 55825200
lock, 5, 51912100
tournament, 6, 314133300
atomic, 6, 60005400
sync, 6, 51816600
lock, 6, 51355800
tournament, 7, 350246700
atomic, 7, 70983400
sync, 7, 51037500
lock, 7, 52888000
